voltage,current,none,time,res
-2.000000E+00,-2.013166E-05,+9.910000E+37,+7.027676E+04,99346.00524745599
-1.900000E+00,-1.912431E-05,+9.910000E+37,+7.027685E+04,99349.98962054055
-1.800000E+00,-1.811817E-05,+9.910000E+37,+7.027694E+04,99347.78181240159
-1.700000E+00,-1.711148E-05,+9.910000E+37,+7.027702E+04,99348.50755165538
-1.600000E+00,-1.610564E-05,+9.910000E+37,+7.027712E+04,99344.08070713117
-1.500000E+00,-1.509952E-05,+9.910000E+37,+7.027721E+04,99340.90620099183
-1.400000E+00,-1.409256E-05,+9.910000E+37,+7.027730E+04,99343.19953223545
-1.300000E+00,-1.308694E-05,+9.910000E+37,+7.027740E+04,99335.67357992014
-1.200000E+00,-1.208012E-05,+9.910000E+37,+7.027749E+04,99336.76155534878
-1.100000E+00,-1.107338E-05,+9.910000E+37,+7.027758E+04,99337.32970420957
-1.000000E+00,-1.006743E-05,+9.910000E+37,+7.027766E+04,99330.21635114423
-9.000000E-01,-9.060861E-06,+9.910000E+37,+7.027784E+04,99328.30886601175
-8.000000E-01,-8.054782E-06,+9.910000E+37,+7.027792E+04,99319.88227614354
-7.000000E-01,-7.048454E-06,+9.910000E+37,+7.027801E+04,99312.55847026879
-6.000000E-01,-6.041694E-06,+9.910000E+37,+7.027810E+04,99309.89553592088
-5.000000E-01,-5.034637E-06,+9.910000E+37,+7.027819E+04,99312.02587197449
-4.000000E-01,-4.028481E-06,+9.910000E+37,+7.027828E+04,99293.00895300238
-3.000000E-01,-3.021616E-06,+9.910000E+37,+7.027837E+04,99284.62120931316
-2.000000E-01,-2.015109E-06,+9.910000E+37,+7.027847E+04,99250.21425640002
-1.000000E-01,-1.008709E-06,+9.910000E+37,+7.027855E+04,99136.61918353064
+0.000000E+00,-2.083631E-09,+9.910000E+37,+7.027873E+04,-0.0
+1.000000E-01,+1.001811E-06,+9.910000E+37,+7.027881E+04,99819.22737921625
+2.000000E-01,+2.011100E-06,+9.910000E+37,+7.027905E+04,99448.06324896823
+3.000000E-01,+3.017449E-06,+9.910000E+37,+7.027914E+04,99421.73007729376
+4.000000E-01,+4.023940E-06,+9.910000E+37,+7.027923E+04,99405.06071164084
+5.000000E-01,+5.031046E-06,+9.910000E+37,+7.027932E+04,99382.9116251372
+6.000000E-01,+6.037124E-06,+9.910000E+37,+7.027941E+04,99385.0714346765
+7.000000E-01,+7.043903E-06,+9.910000E+37,+7.027950E+04,99376.7233875878
+8.000000E-01,+8.050371E-06,+9.910000E+37,+7.027959E+04,99374.30212843606
+9.000000E-01,+9.057286E-06,+9.910000E+37,+7.027967E+04,99367.5147279218
+1.000000E+00,+1.006394E-05,+9.910000E+37,+7.027976E+04,99364.66234894088
+1.100000E+00,+1.106796E-05,+9.910000E+37,+7.027999E+04,99385.97537396233
+1.200000E+00,+1.207468E-05,+9.910000E+37,+7.028009E+04,99381.51570062312
+1.300000E+00,+1.308069E-05,+9.910000E+37,+7.028018E+04,99383.13651649875
+1.400000E+00,+1.408633E-05,+9.910000E+37,+7.028028E+04,99387.13632294572
+1.500000E+00,+1.509338E-05,+9.910000E+37,+7.028037E+04,99381.31816730248
+1.600000E+00,+1.609946E-05,+9.910000E+37,+7.028046E+04,99382.21530411579
+1.700000E+00,+1.710559E-05,+9.910000E+37,+7.028055E+04,99382.71641024952
+1.800000E+00,+1.811186E-05,+9.910000E+37,+7.028064E+04,99382.39363599321
+1.900000E+00,+1.911771E-05,+9.910000E+37,+7.028073E+04,99384.28818095892
